image_id,video_id,source_id,session_id,file_name,frame_index,timestamp_seconds,width,height,condition,source_type,camera_type,contains_vehicle,vehicle_count,split,duplicate_status,quality_status,storage_path,notes
WM_DAY_001,,SRC_ONL007,,wm_day_001_file_2005_car_traffic_in_taipei_jpg.jpg,,,640,480,day,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/day/wm_day_001_file_2005_car_traffic_in_taipei_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_DAY_002,,SRC_ONL007,,wm_day_002_file_2005_car_traffic_in_taipei_2_jpg.jpg,,,640,480,day,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/day/wm_day_002_file_2005_car_traffic_in_taipei_2_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_DAY_003,,SRC_ONL007,,wm_day_003_file_2023_02_27_verkehrsunfall_mit_straßensperrung_der_l_506_zwischen_.jpg,,,640,480,day,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/day/wm_day_003_file_2023_02_27_verkehrsunfall_mit_straßensperrung_der_l_506_zwischen_.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_DAY_004,,SRC_ONL007,,wm_day_004_file_20240816_khimki_bus_accident_jpg.jpg,,,640,646,day,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/day/wm_day_004_file_20240816_khimki_bus_accident_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_DAY_005,,SRC_ONL007,,wm_day_005_file_algeria_road_traffic_accidents_01_jpg.jpg,,,640,853,day,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/day/wm_day_005_file_algeria_road_traffic_accidents_01_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_DAY_006,,SRC_ONL007,,wm_day_006_file_bad_one_auto_wreck_in_dakar_senegal_2011_jpg.jpg,,,640,480,day,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/day/wm_day_006_file_bad_one_auto_wreck_in_dakar_senegal_2011_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_DAY_007,,SRC_ONL007,,wm_day_007_file_bike_accident_on_the_road_jpg.jpg,,,640,427,day,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/day/wm_day_007_file_bike_accident_on_the_road_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_DAY_008,,SRC_ONL007,,wm_day_008_file_bike_crash_road_traffic_accident_jpg.jpg,,,640,427,day,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/day/wm_day_008_file_bike_crash_road_traffic_accident_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_DAY_009,,SRC_ONL007,,wm_day_009_file_car_traffic_at_bus_station_jpg.jpg,,,640,853,day,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/day/wm_day_009_file_car_traffic_at_bus_station_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_DAY_010,,SRC_ONL007,,wm_day_010_file_car_accident_on_the_ffestiniog_to_bala_road_nobody_was_hurt_14777.jpg,,,640,639,day,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/day/wm_day_010_file_car_accident_on_the_ffestiniog_to_bala_road_nobody_was_hurt_14777.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_NIGHT_001,,SRC_ONL007,,wm_night_001_file_20250123_174548_car_accident_from_west_in_dali_taichung_jpg.jpg,,,640,480,night,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/night/wm_night_001_file_20250123_174548_car_accident_from_west_in_dali_taichung_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_NIGHT_002,,SRC_ONL007,,wm_night_002_file_20250123_174646_car_accident_from_east_in_dali_taichung_jpg.jpg,,,640,480,night,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/night/wm_night_002_file_20250123_174646_car_accident_from_east_in_dali_taichung_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_NIGHT_003,,SRC_ONL007,,wm_night_003_file_cars_are_driving_down_the_street_at_night_2025_jpg.jpg,,,640,427,night,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/night/wm_night_003_file_cars_are_driving_down_the_street_at_night_2025_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_NIGHT_004,,SRC_ONL007,,wm_night_004_file_city_traffic_239845887_jpeg.jpg,,,640,404,night,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/night/wm_night_004_file_city_traffic_239845887_jpeg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_NIGHT_005,,SRC_ONL007,,wm_night_005_file_cowes_park_road_traffic_on_firework_night_2010_jpg.jpg,,,640,360,night,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/night/wm_night_005_file_cowes_park_road_traffic_on_firework_night_2010_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_NIGHT_006,,SRC_ONL007,,wm_night_006_file_cowes_park_road_traffic_on_firework_night_2010_2_jpg.jpg,,,640,360,night,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/night/wm_night_006_file_cowes_park_road_traffic_on_firework_night_2010_2_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_NIGHT_007,,SRC_ONL007,,wm_night_007_file_cowes_place_road_traffic_on_firework_night_2010_jpg.jpg,,,640,360,night,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/night/wm_night_007_file_cowes_place_road_traffic_on_firework_night_2010_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_NIGHT_008,,SRC_ONL007,,wm_night_008_file_cowes_tuttons_hill_park_road_firework_night_2010_closure_jpg.jpg,,,640,360,night,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/night/wm_night_008_file_cowes_tuttons_hill_park_road_firework_night_2010_closure_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_NIGHT_009,,SRC_ONL007,,wm_night_009_file_cowes_tuttons_hill_park_road_firework_night_2010_closure_2_jpg.jpg,,,640,360,night,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/night/wm_night_009_file_cowes_tuttons_hill_park_road_firework_night_2010_closure_2_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_NIGHT_010,,SRC_ONL007,,wm_night_010_file_cowes_tuttons_hill_park_road_firework_night_2010_closure_3_jpg.jpg,,,640,360,night,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/night/wm_night_010_file_cowes_tuttons_hill_park_road_firework_night_2010_closure_3_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_RAIN_001,,SRC_ONL007,,wm_rain_001_file_a_rainy_day_flickr_fan_d_dav_c_photgraphy_jpg.jpg,,,640,853,rain,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/rain/wm_rain_001_file_a_rainy_day_flickr_fan_d_dav_c_photgraphy_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_RAIN_002,,SRC_ONL007,,wm_rain_002_file_cars_through_rainy_windshield_unsplash_jpg.jpg,,,640,427,rain,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/rain/wm_rain_002_file_cars_through_rainy_windshield_unsplash_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_RAIN_003,,SRC_ONL007,,wm_rain_003_file_coal_mine_canyon_32937653597_jpg.jpg,,,640,429,rain,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/rain/wm_rain_003_file_coal_mine_canyon_32937653597_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_RAIN_004,,SRC_ONL007,,wm_rain_004_file_drover_s_road_upper_cwm_tywi_powys_geograph_org_uk_1501593_jpg.jpg,,,507,640,rain,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/rain/wm_rain_004_file_drover_s_road_upper_cwm_tywi_powys_geograph_org_uk_1501593_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_RAIN_005,,SRC_ONL007,,wm_rain_005_file_drover_s_road_upper_cwm_tywi_powys_geograph_org_uk_1501603_jpg.jpg,,,509,640,rain,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/rain/wm_rain_005_file_drover_s_road_upper_cwm_tywi_powys_geograph_org_uk_1501603_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_RAIN_006,,SRC_ONL007,,wm_rain_006_file_drover_s_road_at_nant_y_stalwyn_cwm_tywi_powys_geograph_org_uk_15.jpg,,,480,640,rain,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/rain/wm_rain_006_file_drover_s_road_at_nant_y_stalwyn_cwm_tywi_powys_geograph_org_uk_15.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
WM_RAIN_007,,SRC_ONL007,,wm_rain_007_file_gray_at_half_pay_3114745610_jpg.jpg,,,640,480,rain,OPEN_DATASET,UNKNOWN,UNVERIFIED,,UNASSIGNED,NOT_CHECKED,NEEDS_MANUAL_REVIEW,storage_placeholders/online_data/frames/rain/wm_rain_007_file_gray_at_half_pay_3114745610_jpg.jpg,"Ảnh demo từ Wikimedia Commons; condition dựa trên truy vấn, chưa phải ground truth."
