condition_id,condition_group,condition_name,target_count,current_approved_count,current_unreviewed_count,gap_count,priority,recommended_source_type,recommended_action,status,notes
GAP001,K230,K230 ban ngày,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,HIGH,K230_SELF_RECORDED,Khảo sát và tự quay,NOT_STARTED,
GAP002,K230,K230 ban đêm,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,HIGH,K230_SELF_RECORDED,Khảo sát và tự quay,NOT_STARTED,
GAP003,K230,K230 trời mưa,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,HIGH,K230_SELF_RECORDED,Chỉ quay khi an toàn,NOT_STARTED,
GAP004,K230,K230 ngược sáng,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,HIGH,K230_SELF_RECORDED,Tự quay,NOT_STARTED,
GAP005,K230,K230 đèn pha,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,HIGH,K230_SELF_RECORDED,Tự quay an toàn,NOT_STARTED,
GAP006,camera,Camera cố định ban ngày,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,MEDIUM,OPEN_DATASET,Review nguồn chính thức,NOT_STARTED,
GAP007,camera,Camera cố định ban đêm,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,HIGH,OPEN_DATASET,Review nguồn chính thức,NOT_STARTED,
GAP008,camera,Dashcam ban ngày,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,LOW,DASHCAM_SELF_RECORDED,Tự quay bổ sung,NOT_STARTED,
GAP009,camera,Dashcam ban đêm,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,MEDIUM,DASHCAM_SELF_RECORDED,Tự quay bổ sung,NOT_STARTED,
GAP010,vehicle,Xe máy,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,MEDIUM,K230_SELF_RECORDED,Tự quay,NOT_STARTED,
GAP011,vehicle,Ô tô,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,HIGH,K230_SELF_RECORDED,Tự quay,NOT_STARTED,
GAP012,vehicle,Xe tải,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,HIGH,OPEN_DATASET,Review nguồn camera cố định,NOT_STARTED,
GAP013,vehicle,Xe khách,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,MEDIUM,OPEN_DATASET,Review nguồn camera cố định,NOT_STARTED,
GAP014,count,Một xe,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,HIGH,K230_SELF_RECORDED,Tự quay,NOT_STARTED,
GAP015,count,Nhiều xe,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,HIGH,OPEN_DATASET,Review nguồn,NOT_STARTED,
GAP016,event,Xe dừng,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,HIGH,K230_SELF_RECORDED,Tự quay hoặc sa bàn an toàn,NOT_STARTED,
GAP017,event,Xe chạy xuyên qua,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,HIGH,K230_SELF_RECORDED,Tự quay,NOT_STARTED,
GAP018,event,Xe rời khỏi ROI,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,HIGH,K230_SELF_RECORDED,Tự quay hoặc sa bàn an toàn,NOT_STARTED,
GAP019,negative,Không có xe,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,MEDIUM,K230_SELF_RECORDED,Tự quay,NOT_STARTED,
GAP020,negative,Vật thể gây nhiễu,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,MEDIUM,K230_SELF_RECORDED,Tự quay,NOT_STARTED,
GAP021,distance,Xe ở xa,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,HIGH,OPEN_DATASET,Review nguồn,NOT_STARTED,
GAP022,distance,Xe ở gần,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,MEDIUM,K230_SELF_RECORDED,Tự quay,NOT_STARTED,
GAP023,camera,Camera rung,TODO,CHƯA CÓ,CHƯA CÓ,CHƯA CÓ,LOW,DASHCAM_SELF_RECORDED,Tự quay bổ sung,NOT_STARTED,
