image_id,condition,file_name,commons_title,source_page_url,original_url,download_url,creator,license_name,license_url,license_verified,checksum_sha256,width,height,storage_path,content_review,privacy_review,notes
WM_DAY_001,day,wm_day_001_file_2005_car_traffic_in_taipei_jpg.jpg,File:2005 car traffic in Taipei.jpg,https://commons.wikimedia.org/wiki/File:2005_car_traffic_in_Taipei.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bc/2005_car_traffic_in_Taipei.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/2005_car_traffic_in_Taipei.jpg/960px-2005_car_traffic_in_Taipei.jpg,Syced,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,TRUE,a7bd2adba6eb2fb52151fb38f5dc0ee1a6de85b3ba1ad3389597d4a6c3a10ad8,640,480,storage_placeholders/online_data/frames/day/wm_day_001_file_2005_car_traffic_in_taipei_jpg.jpg,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,"Ảnh bổ sung; condition là truy vấn tìm kiếm, chưa phải ground truth."
WM_DAY_002,day,wm_day_002_file_2005_car_traffic_in_taipei_2_jpg.jpg,File:2005 car traffic in Taipei 2.jpg,https://commons.wikimedia.org/wiki/File:2005_car_traffic_in_Taipei_2.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8f/2005_car_traffic_in_Taipei_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/2005_car_traffic_in_Taipei_2.jpg/960px-2005_car_traffic_in_Taipei_2.jpg,Syced,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,TRUE,97292a8ed2de59510b369b4490c44d7c21da8388858205545752e9df6df0f555,640,480,storage_placeholders/online_data/frames/day/wm_day_002_file_2005_car_traffic_in_taipei_2_jpg.jpg,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,"Ảnh bổ sung; condition là truy vấn tìm kiếm, chưa phải ground truth."
WM_DAY_003,day,wm_day_003_file_2023_02_27_verkehrsunfall_mit_straßensperrung_der_l_506_zwischen_.jpg,File:2023-02-27 Verkehrsunfall mit Straßensperrung der L 506 zwischen Tauberbischofsheim und Impfingen 13.jpg,https://commons.wikimedia.org/wiki/File:2023-02-27_Verkehrsunfall_mit_Stra%C3%9Fensperrung_der_L_506_zwischen_Tauberbischofsheim_und_Impfingen_13.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b1/2023-02-27_Verkehrsunfall_mit_Stra%C3%9Fensperrung_der_L_506_zwischen_Tauberbischofsheim_und_Impfingen_13.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/2023-02-27_Verkehrsunfall_mit_Stra%C3%9Fensperrung_der_L_506_zwischen_Tauberbischofsheim_und_Impfingen_13.jpg/960px-2023-02-27_Verkehrsunfall_mit_Stra%C3%9Fensperrung_der_L_506_zwischen_Tauberbischofsheim_und_Impfingen_13.jpg,Triplec85,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,TRUE,25136d5d832c4d5069f700cfbff516c1e3cbd5db3244821c47c5703751b023f6,640,480,storage_placeholders/online_data/frames/day/wm_day_003_file_2023_02_27_verkehrsunfall_mit_straßensperrung_der_l_506_zwischen_.jpg,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,"Ảnh bổ sung; condition là truy vấn tìm kiếm, chưa phải ground truth."
WM_DAY_004,day,wm_day_004_file_20240816_khimki_bus_accident_jpg.jpg,File:20240816 Khimki bus accident.jpg,https://commons.wikimedia.org/wiki/File:20240816_Khimki_bus_accident.jpg,https://upload.wikimedia.org/wikipedia/commons/8/81/20240816_Khimki_bus_accident.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/20240816_Khimki_bus_accident.jpg/960px-20240816_Khimki_bus_accident.jpg,Sergey A. Demidov,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,TRUE,472dad6552cda7c2e8902f60289b0b8f8d291dbe39ea69d9919c7bf4388915b8,640,646,storage_placeholders/online_data/frames/day/wm_day_004_file_20240816_khimki_bus_accident_jpg.jpg,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,"Ảnh bổ sung; condition là truy vấn tìm kiếm, chưa phải ground truth."
WM_DAY_005,day,wm_day_005_file_algeria_road_traffic_accidents_01_jpg.jpg,File:ALGERIA ROAD TRAFFIC ACCIDENTS 01.jpg,https://commons.wikimedia.org/wiki/File:ALGERIA_ROAD_TRAFFIC_ACCIDENTS_01.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8e/ALGERIA_ROAD_TRAFFIC_ACCIDENTS_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/ALGERIA_ROAD_TRAFFIC_ACCIDENTS_01.jpg/960px-ALGERIA_ROAD_TRAFFIC_ACCIDENTS_01.jpg,SEMMACHE MOHAMED FOUAD,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,TRUE,758b8cc574d1bcd351d897c4aeb7e7d0b99306879209ce9764e59ed3f9db83a2,640,853,storage_placeholders/online_data/frames/day/wm_day_005_file_algeria_road_traffic_accidents_01_jpg.jpg,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,"Ảnh bổ sung; condition là truy vấn tìm kiếm, chưa phải ground truth."
WM_DAY_006,day,wm_day_006_file_bad_one_auto_wreck_in_dakar_senegal_2011_jpg.jpg,"File:Bad one - auto wreck in Dakar Senegal, 2011.jpg","https://commons.wikimedia.org/wiki/File:Bad_one_-_auto_wreck_in_Dakar_Senegal,_2011.jpg",https://upload.wikimedia.org/wikipedia/commons/c/c4/Bad_one_-_auto_wreck_in_Dakar_Senegal%2C_2011.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Bad_one_-_auto_wreck_in_Dakar_Senegal%2C_2011.jpg/960px-Bad_one_-_auto_wreck_in_Dakar_Senegal%2C_2011.jpg,"Jeff Attaway from Abuja, Nigeria",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,TRUE,8d085b235fb593d6825f6a3ae3fc72412fa549cf301b30b3cc49ffaa7e768506,640,480,storage_placeholders/online_data/frames/day/wm_day_006_file_bad_one_auto_wreck_in_dakar_senegal_2011_jpg.jpg,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,"Ảnh bổ sung; condition là truy vấn tìm kiếm, chưa phải ground truth."
WM_DAY_007,day,wm_day_007_file_bike_accident_on_the_road_jpg.jpg,File:Bike accident on the road.jpg,https://commons.wikimedia.org/wiki/File:Bike_accident_on_the_road.jpg,https://upload.wikimedia.org/wikipedia/commons/8/88/Bike_accident_on_the_road.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Bike_accident_on_the_road.jpg/960px-Bike_accident_on_the_road.jpg,Alextredz,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,TRUE,e3327ac735aa3b64d8df0837d5a71c3ca6333a019417efe12e927c2f38b15989,640,427,storage_placeholders/online_data/frames/day/wm_day_007_file_bike_accident_on_the_road_jpg.jpg,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,"Ảnh bổ sung; condition là truy vấn tìm kiếm, chưa phải ground truth."
WM_DAY_008,day,wm_day_008_file_bike_crash_road_traffic_accident_jpg.jpg,File:Bike crash - road traffic accident.jpg,https://commons.wikimedia.org/wiki/File:Bike_crash_-_road_traffic_accident.jpg,https://upload.wikimedia.org/wikipedia/commons/d/da/Bike_crash_-_road_traffic_accident.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Bike_crash_-_road_traffic_accident.jpg/960px-Bike_crash_-_road_traffic_accident.jpg,Alextredz,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,TRUE,23f6f4ad58a376d6573435445f15e5d23facfb79ff3c5f84df3ac84016aeeec6,640,427,storage_placeholders/online_data/frames/day/wm_day_008_file_bike_crash_road_traffic_accident_jpg.jpg,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,"Ảnh bổ sung; condition là truy vấn tìm kiếm, chưa phải ground truth."
WM_DAY_009,day,wm_day_009_file_car_traffic_at_bus_station_jpg.jpg,File:Car Traffic At Bus Station.jpg,https://commons.wikimedia.org/wiki/File:Car_Traffic_At_Bus_Station.jpg,https://upload.wikimedia.org/wikipedia/commons/5/58/Car_Traffic_At_Bus_Station.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Car_Traffic_At_Bus_Station.jpg/960px-Car_Traffic_At_Bus_Station.jpg,Lisettejoe,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,TRUE,961e1efc0366a8fe7446d27b178335114d72f8053a10ccfe389c538d7fd83b8e,640,853,storage_placeholders/online_data/frames/day/wm_day_009_file_car_traffic_at_bus_station_jpg.jpg,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,"Ảnh bổ sung; condition là truy vấn tìm kiếm, chưa phải ground truth."
WM_DAY_010,day,wm_day_010_file_car_accident_on_the_ffestiniog_to_bala_road_nobody_was_hurt_14777.jpg,File:Car accident on the Ffestiniog to Bala road. Nobody was hurt (1477737).jpg,https://commons.wikimedia.org/wiki/File:Car_accident_on_the_Ffestiniog_to_Bala_road._Nobody_was_hurt_(1477737).jpg,https://upload.wikimedia.org/wikipedia/commons/6/60/Car_accident_on_the_Ffestiniog_to_Bala_road._Nobody_was_hurt_%281477737%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Car_accident_on_the_Ffestiniog_to_Bala_road._Nobody_was_hurt_%281477737%29.jpg/960px-Car_accident_on_the_Ffestiniog_to_Bala_road._Nobody_was_hurt_%281477737%29.jpg,Geoff Charles,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,TRUE,f449e8ec90ab95f8b5f782052f647c51255f0a765c4af0a4c25adc9fd094808f,640,639,storage_placeholders/online_data/frames/day/wm_day_010_file_car_accident_on_the_ffestiniog_to_bala_road_nobody_was_hurt_14777.jpg,NEEDS_MANUAL_REVIEW,NEEDS_MANUAL_REVIEW,"Ảnh bổ sung; condition là truy vấn tìm kiếm, chưa phải ground truth."
