dimension,value,metric,category,bbox_count_in_analysis,ratio_within_slice,analysis_scope
camera_view,ELEVATED_OBLIQUE,ORIGINAL_RELATIVE_SIZE,LARGE,1669,0.15927092,BBOX_ANALYSIS_SAMPLE
camera_view,ELEVATED_OBLIQUE,ORIGINAL_RELATIVE_SIZE,MEDIUM,8640,0.82450616,BBOX_ANALYSIS_SAMPLE
camera_view,ELEVATED_OBLIQUE,ORIGINAL_RELATIVE_SIZE,SMALL,170,0.01622292,BBOX_ANALYSIS_SAMPLE
camera_view,ELEVATED_OBLIQUE,POST_RESIZE_320,EXTREMELY_TINY,19,0.00181315,BBOX_ANALYSIS_SAMPLE
camera_view,ELEVATED_OBLIQUE,POST_RESIZE_320,SMALL,5599,0.53430671,BBOX_ANALYSIS_SAMPLE
camera_view,ELEVATED_OBLIQUE,POST_RESIZE_320,USABLE,4350,0.41511595,BBOX_ANALYSIS_SAMPLE
camera_view,ELEVATED_OBLIQUE,POST_RESIZE_320,VERY_SMALL,511,0.0487642,BBOX_ANALYSIS_SAMPLE
lighting,DAY,ORIGINAL_RELATIVE_SIZE,LARGE,956,0.12167494,BBOX_ANALYSIS_SAMPLE
lighting,DAY,ORIGINAL_RELATIVE_SIZE,MEDIUM,6886,0.87641593,BBOX_ANALYSIS_SAMPLE
lighting,DAY,ORIGINAL_RELATIVE_SIZE,SMALL,15,0.00190913,BBOX_ANALYSIS_SAMPLE
lighting,DAY,POST_RESIZE_320,EXTREMELY_TINY,1,0.00012728,BBOX_ANALYSIS_SAMPLE
lighting,DAY,POST_RESIZE_320,SMALL,4421,0.56268296,BBOX_ANALYSIS_SAMPLE
lighting,DAY,POST_RESIZE_320,USABLE,3127,0.39798905,BBOX_ANALYSIS_SAMPLE
lighting,DAY,POST_RESIZE_320,VERY_SMALL,308,0.03920071,BBOX_ANALYSIS_SAMPLE
lighting,NIGHT,ORIGINAL_RELATIVE_SIZE,LARGE,185,0.17754319,BBOX_ANALYSIS_SAMPLE
lighting,NIGHT,ORIGINAL_RELATIVE_SIZE,MEDIUM,718,0.6890595,BBOX_ANALYSIS_SAMPLE
lighting,NIGHT,ORIGINAL_RELATIVE_SIZE,SMALL,139,0.13339731,BBOX_ANALYSIS_SAMPLE
lighting,NIGHT,POST_RESIZE_320,EXTREMELY_TINY,11,0.01055662,BBOX_ANALYSIS_SAMPLE
lighting,NIGHT,POST_RESIZE_320,SMALL,480,0.46065259,BBOX_ANALYSIS_SAMPLE
lighting,NIGHT,POST_RESIZE_320,USABLE,373,0.35796545,BBOX_ANALYSIS_SAMPLE
lighting,NIGHT,POST_RESIZE_320,VERY_SMALL,178,0.17082534,BBOX_ANALYSIS_SAMPLE
lighting,TWILIGHT,ORIGINAL_RELATIVE_SIZE,LARGE,528,0.33417722,BBOX_ANALYSIS_SAMPLE
lighting,TWILIGHT,ORIGINAL_RELATIVE_SIZE,MEDIUM,1036,0.6556962,BBOX_ANALYSIS_SAMPLE
lighting,TWILIGHT,ORIGINAL_RELATIVE_SIZE,SMALL,16,0.01012658,BBOX_ANALYSIS_SAMPLE
lighting,TWILIGHT,POST_RESIZE_320,EXTREMELY_TINY,7,0.00443038,BBOX_ANALYSIS_SAMPLE
lighting,TWILIGHT,POST_RESIZE_320,SMALL,698,0.44177215,BBOX_ANALYSIS_SAMPLE
lighting,TWILIGHT,POST_RESIZE_320,USABLE,850,0.53797468,BBOX_ANALYSIS_SAMPLE
lighting,TWILIGHT,POST_RESIZE_320,VERY_SMALL,25,0.01582278,BBOX_ANALYSIS_SAMPLE
road_type,HIGHWAY,ORIGINAL_RELATIVE_SIZE,LARGE,371,0.09704421,BBOX_ANALYSIS_SAMPLE
road_type,HIGHWAY,ORIGINAL_RELATIVE_SIZE,MEDIUM,3437,0.89903217,BBOX_ANALYSIS_SAMPLE
road_type,HIGHWAY,ORIGINAL_RELATIVE_SIZE,SMALL,15,0.00392362,BBOX_ANALYSIS_SAMPLE
road_type,HIGHWAY,POST_RESIZE_320,EXTREMELY_TINY,1,0.00026157,BBOX_ANALYSIS_SAMPLE
road_type,HIGHWAY,POST_RESIZE_320,SMALL,2201,0.57572587,BBOX_ANALYSIS_SAMPLE
road_type,HIGHWAY,POST_RESIZE_320,USABLE,1397,0.36541983,BBOX_ANALYSIS_SAMPLE
road_type,HIGHWAY,POST_RESIZE_320,VERY_SMALL,224,0.05859273,BBOX_ANALYSIS_SAMPLE
road_type,INTERSECTION,ORIGINAL_RELATIVE_SIZE,LARGE,694,0.13688363,BBOX_ANALYSIS_SAMPLE
road_type,INTERSECTION,ORIGINAL_RELATIVE_SIZE,MEDIUM,4221,0.83254438,BBOX_ANALYSIS_SAMPLE
road_type,INTERSECTION,ORIGINAL_RELATIVE_SIZE,SMALL,155,0.03057199,BBOX_ANALYSIS_SAMPLE
road_type,INTERSECTION,POST_RESIZE_320,EXTREMELY_TINY,18,0.0035503,BBOX_ANALYSIS_SAMPLE
road_type,INTERSECTION,POST_RESIZE_320,SMALL,2780,0.54832347,BBOX_ANALYSIS_SAMPLE
road_type,INTERSECTION,POST_RESIZE_320,USABLE,1999,0.39428008,BBOX_ANALYSIS_SAMPLE
road_type,INTERSECTION,POST_RESIZE_320,VERY_SMALL,273,0.05384615,BBOX_ANALYSIS_SAMPLE
road_type,URBAN_ROAD,ORIGINAL_RELATIVE_SIZE,LARGE,604,0.38083228,BBOX_ANALYSIS_SAMPLE
road_type,URBAN_ROAD,ORIGINAL_RELATIVE_SIZE,MEDIUM,982,0.61916772,BBOX_ANALYSIS_SAMPLE
road_type,URBAN_ROAD,POST_RESIZE_320,SMALL,618,0.38965952,BBOX_ANALYSIS_SAMPLE
road_type,URBAN_ROAD,POST_RESIZE_320,USABLE,954,0.60151324,BBOX_ANALYSIS_SAMPLE
road_type,URBAN_ROAD,POST_RESIZE_320,VERY_SMALL,14,0.00882724,BBOX_ANALYSIS_SAMPLE
traffic_density,HIGH,ORIGINAL_RELATIVE_SIZE,LARGE,788,0.1114884,BBOX_ANALYSIS_SAMPLE
traffic_density,HIGH,ORIGINAL_RELATIVE_SIZE,MEDIUM,6266,0.88653084,BBOX_ANALYSIS_SAMPLE
traffic_density,HIGH,ORIGINAL_RELATIVE_SIZE,SMALL,14,0.00198076,BBOX_ANALYSIS_SAMPLE
traffic_density,HIGH,POST_RESIZE_320,SMALL,4047,0.57258065,BBOX_ANALYSIS_SAMPLE
traffic_density,HIGH,POST_RESIZE_320,USABLE,2757,0.39006791,BBOX_ANALYSIS_SAMPLE
traffic_density,HIGH,POST_RESIZE_320,VERY_SMALL,264,0.03735144,BBOX_ANALYSIS_SAMPLE
traffic_density,LOW,ORIGINAL_RELATIVE_SIZE,LARGE,122,0.15601023,BBOX_ANALYSIS_SAMPLE
traffic_density,LOW,ORIGINAL_RELATIVE_SIZE,MEDIUM,644,0.82352941,BBOX_ANALYSIS_SAMPLE
traffic_density,LOW,ORIGINAL_RELATIVE_SIZE,SMALL,16,0.02046036,BBOX_ANALYSIS_SAMPLE
traffic_density,LOW,POST_RESIZE_320,EXTREMELY_TINY,7,0.00895141,BBOX_ANALYSIS_SAMPLE
traffic_density,LOW,POST_RESIZE_320,SMALL,478,0.6112532,BBOX_ANALYSIS_SAMPLE
traffic_density,LOW,POST_RESIZE_320,USABLE,268,0.342711,BBOX_ANALYSIS_SAMPLE
traffic_density,LOW,POST_RESIZE_320,VERY_SMALL,29,0.0370844,BBOX_ANALYSIS_SAMPLE
traffic_density,MEDIUM,ORIGINAL_RELATIVE_SIZE,LARGE,759,0.28870293,BBOX_ANALYSIS_SAMPLE
traffic_density,MEDIUM,ORIGINAL_RELATIVE_SIZE,MEDIUM,1730,0.65804488,BBOX_ANALYSIS_SAMPLE
traffic_density,MEDIUM,ORIGINAL_RELATIVE_SIZE,SMALL,140,0.05325219,BBOX_ANALYSIS_SAMPLE
traffic_density,MEDIUM,POST_RESIZE_320,EXTREMELY_TINY,12,0.00456447,BBOX_ANALYSIS_SAMPLE
traffic_density,MEDIUM,POST_RESIZE_320,SMALL,1074,0.40852035,BBOX_ANALYSIS_SAMPLE
traffic_density,MEDIUM,POST_RESIZE_320,USABLE,1325,0.50399391,BBOX_ANALYSIS_SAMPLE
traffic_density,MEDIUM,POST_RESIZE_320,VERY_SMALL,218,0.08292126,BBOX_ANALYSIS_SAMPLE
weather,CLEAR,ORIGINAL_RELATIVE_SIZE,LARGE,703,0.19318494,BBOX_ANALYSIS_SAMPLE
weather,CLEAR,ORIGINAL_RELATIVE_SIZE,MEDIUM,2935,0.80654026,BBOX_ANALYSIS_SAMPLE
weather,CLEAR,ORIGINAL_RELATIVE_SIZE,SMALL,1,0.0002748,BBOX_ANALYSIS_SAMPLE
weather,CLEAR,POST_RESIZE_320,EXTREMELY_TINY,1,0.0002748,BBOX_ANALYSIS_SAMPLE
weather,CLEAR,POST_RESIZE_320,SMALL,1658,0.45561968,BBOX_ANALYSIS_SAMPLE
weather,CLEAR,POST_RESIZE_320,USABLE,1886,0.51827425,BBOX_ANALYSIS_SAMPLE
weather,CLEAR,POST_RESIZE_320,VERY_SMALL,94,0.02583127,BBOX_ANALYSIS_SAMPLE
weather,CLOUDY,ORIGINAL_RELATIVE_SIZE,LARGE,253,0.05998103,BBOX_ANALYSIS_SAMPLE
weather,CLOUDY,ORIGINAL_RELATIVE_SIZE,MEDIUM,3951,0.93669986,BBOX_ANALYSIS_SAMPLE
weather,CLOUDY,ORIGINAL_RELATIVE_SIZE,SMALL,14,0.00331911,BBOX_ANALYSIS_SAMPLE
weather,CLOUDY,POST_RESIZE_320,SMALL,2763,0.65504979,BBOX_ANALYSIS_SAMPLE
weather,CLOUDY,POST_RESIZE_320,USABLE,1241,0.29421527,BBOX_ANALYSIS_SAMPLE
