dataset_name,boxes_per_image,image_count,analysis_scope
AAU RainSnow,1,189,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,2,275,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,3,264,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,4,203,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,5,158,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,6,173,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,7,158,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,8,117,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,9,75,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,10,62,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,11,55,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,12,52,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,13,36,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,14,36,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,15,37,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,16,18,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,17,10,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,18,12,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,19,14,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,20,15,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,21,10,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,22,11,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,23,8,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,24,9,FULL_ANNOTATION_SAMPLE_2198_IMAGES
AAU RainSnow,25,8,FULL_ANNOTATION_SAMPLE_2198_IMAGES
