dataset_name,original_class,count,mapped_class,include_for_training,reason,manual_review_required,mapping_status
MIO-TCD Localization,articulated_truck,9301,vehicle,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
MIO-TCD Localization,bicycle,2260,,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
MIO-TCD Localization,bus,10598,vehicle,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
MIO-TCD Localization,car,233497,vehicle,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
MIO-TCD Localization,motorcycle,1837,vehicle,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
MIO-TCD Localization,motorized_vehicle,25845,vehicle,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
MIO-TCD Localization,non-motorized_vehicle,2350,,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
MIO-TCD Localization,pedestrian,7128,,FALSE,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
MIO-TCD Localization,pickup_truck,44283,vehicle,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
MIO-TCD Localization,single_unit_truck,5741,vehicle,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
MIO-TCD Localization,work_van,8709,vehicle,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
AAU RainSnow,bicycle,1227,,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
AAU RainSnow,bus,433,vehicle,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
AAU RainSnow,car,10024,vehicle,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
AAU RainSnow,motorbike,41,vehicle,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
AAU RainSnow,person,719,,FALSE,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
AAU RainSnow,truck,853,vehicle,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
UA-DETRAC Original,bus,105436,vehicle,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
UA-DETRAC Original,car,1052408,vehicle,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
UA-DETRAC Original,others,20641,vehicle,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
UA-DETRAC Original,van,95570,vehicle,,MAPPING_PENDING_DATA_LEAD_APPROVAL,TRUE,DEFINED
