dimension,value,original_class,mapped_class,bbox_count_in_analysis,ratio_within_slice,analysis_scope
camera_view,ELEVATED_OBLIQUE,bicycle,EXCLUDED_OR_UNMAPPED,32,0.0029523,BBOX_ANALYSIS_SAMPLE
camera_view,ELEVATED_OBLIQUE,bus,vehicle,740,0.06827198,BBOX_ANALYSIS_SAMPLE
camera_view,ELEVATED_OBLIQUE,car,vehicle,9203,0.84906357,BBOX_ANALYSIS_SAMPLE
camera_view,ELEVATED_OBLIQUE,others,vehicle,43,0.00396716,BBOX_ANALYSIS_SAMPLE
camera_view,ELEVATED_OBLIQUE,person,EXCLUDED_OR_UNMAPPED,28,0.00258326,BBOX_ANALYSIS_SAMPLE
camera_view,ELEVATED_OBLIQUE,truck,vehicle,81,0.00747301,BBOX_ANALYSIS_SAMPLE
camera_view,ELEVATED_OBLIQUE,van,vehicle,712,0.06568872,BBOX_ANALYSIS_SAMPLE
lighting,DAY,bus,vehicle,316,0.03827056,BBOX_ANALYSIS_SAMPLE
lighting,DAY,car,vehicle,7241,0.87695289,BBOX_ANALYSIS_SAMPLE
lighting,DAY,others,vehicle,26,0.00314884,BBOX_ANALYSIS_SAMPLE
lighting,DAY,van,vehicle,674,0.08162771,BBOX_ANALYSIS_SAMPLE
lighting,NIGHT,bicycle,EXCLUDED_OR_UNMAPPED,32,0.03047619,BBOX_ANALYSIS_SAMPLE
lighting,NIGHT,bus,vehicle,66,0.06285714,BBOX_ANALYSIS_SAMPLE
lighting,NIGHT,car,vehicle,819,0.78,BBOX_ANALYSIS_SAMPLE
lighting,NIGHT,person,EXCLUDED_OR_UNMAPPED,24,0.02285714,BBOX_ANALYSIS_SAMPLE
lighting,NIGHT,truck,vehicle,81,0.07714286,BBOX_ANALYSIS_SAMPLE
lighting,NIGHT,van,vehicle,28,0.02666667,BBOX_ANALYSIS_SAMPLE
lighting,TWILIGHT,bus,vehicle,358,0.23368146,BBOX_ANALYSIS_SAMPLE
lighting,TWILIGHT,car,vehicle,1143,0.74608355,BBOX_ANALYSIS_SAMPLE
lighting,TWILIGHT,others,vehicle,17,0.01109661,BBOX_ANALYSIS_SAMPLE
lighting,TWILIGHT,person,EXCLUDED_OR_UNMAPPED,4,0.00261097,BBOX_ANALYSIS_SAMPLE
lighting,TWILIGHT,van,vehicle,10,0.00652742,BBOX_ANALYSIS_SAMPLE
road_type,HIGHWAY,bus,vehicle,6,0.00146735,BBOX_ANALYSIS_SAMPLE
road_type,HIGHWAY,car,vehicle,3547,0.86744925,BBOX_ANALYSIS_SAMPLE
road_type,HIGHWAY,others,vehicle,26,0.00635852,BBOX_ANALYSIS_SAMPLE
road_type,HIGHWAY,van,vehicle,510,0.12472487,BBOX_ANALYSIS_SAMPLE
road_type,INTERSECTION,bicycle,EXCLUDED_OR_UNMAPPED,32,0.00614912,BBOX_ANALYSIS_SAMPLE
road_type,INTERSECTION,bus,vehicle,325,0.06245196,BBOX_ANALYSIS_SAMPLE
road_type,INTERSECTION,car,vehicle,4574,0.87893928,BBOX_ANALYSIS_SAMPLE
road_type,INTERSECTION,person,EXCLUDED_OR_UNMAPPED,28,0.00538048,BBOX_ANALYSIS_SAMPLE
road_type,INTERSECTION,truck,vehicle,81,0.01556495,BBOX_ANALYSIS_SAMPLE
road_type,INTERSECTION,van,vehicle,164,0.03151422,BBOX_ANALYSIS_SAMPLE
road_type,URBAN_ROAD,bus,vehicle,409,0.26455369,BBOX_ANALYSIS_SAMPLE
road_type,URBAN_ROAD,car,vehicle,1082,0.69987063,BBOX_ANALYSIS_SAMPLE
road_type,URBAN_ROAD,others,vehicle,17,0.01099612,BBOX_ANALYSIS_SAMPLE
road_type,URBAN_ROAD,van,vehicle,38,0.02457956,BBOX_ANALYSIS_SAMPLE
traffic_density,HIGH,bus,vehicle,310,0.04186926,BBOX_ANALYSIS_SAMPLE
traffic_density,HIGH,car,vehicle,6523,0.88101026,BBOX_ANALYSIS_SAMPLE
traffic_density,HIGH,others,vehicle,13,0.00175581,BBOX_ANALYSIS_SAMPLE
traffic_density,HIGH,van,vehicle,558,0.07536467,BBOX_ANALYSIS_SAMPLE
traffic_density,LOW,bus,vehicle,57,0.0721519,BBOX_ANALYSIS_SAMPLE
traffic_density,LOW,car,vehicle,701,0.88734177,BBOX_ANALYSIS_SAMPLE
traffic_density,LOW,person,EXCLUDED_OR_UNMAPPED,4,0.00506329,BBOX_ANALYSIS_SAMPLE
traffic_density,LOW,van,vehicle,28,0.03544304,BBOX_ANALYSIS_SAMPLE
traffic_density,MEDIUM,bicycle,EXCLUDED_OR_UNMAPPED,32,0.0120983,BBOX_ANALYSIS_SAMPLE
traffic_density,MEDIUM,bus,vehicle,373,0.14102079,BBOX_ANALYSIS_SAMPLE
traffic_density,MEDIUM,car,vehicle,1979,0.74820416,BBOX_ANALYSIS_SAMPLE
traffic_density,MEDIUM,others,vehicle,30,0.01134216,BBOX_ANALYSIS_SAMPLE
traffic_density,MEDIUM,person,EXCLUDED_OR_UNMAPPED,24,0.00907372,BBOX_ANALYSIS_SAMPLE
traffic_density,MEDIUM,truck,vehicle,81,0.03062382,BBOX_ANALYSIS_SAMPLE
traffic_density,MEDIUM,van,vehicle,126,0.04763705,BBOX_ANALYSIS_SAMPLE
weather,CLEAR,bus,vehicle,316,0.08515225,BBOX_ANALYSIS_SAMPLE
weather,CLEAR,car,vehicle,3138,0.84559418,BBOX_ANALYSIS_SAMPLE
weather,CLEAR,others,vehicle,13,0.0035031,BBOX_ANALYSIS_SAMPLE
weather,CLEAR,van,vehicle,244,0.06575047,BBOX_ANALYSIS_SAMPLE
