duplicate_group_id,dataset_name,sequence_name,file_path,duplicate_type,similarity_score,recommended_keep,recommended_action,review_status
DUP_00001,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00077854.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00001,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00007244.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00002,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00038550.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00002,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00087090.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00003,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00068848.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00003,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00071849.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00004,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00089938.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00004,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00092587.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00005,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00083975.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00005,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00025025.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00005,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00074054.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00006,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00097846.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00006,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00109306.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00007,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00080213.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00007,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00061849.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00008,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00098016.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00008,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00081830.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00009,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00012306.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00009,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00050754.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00010,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00096171.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00010,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00026734.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00011,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00061749.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00011,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00015378.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00012,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00015855.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00012,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00058502.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00013,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00002456.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00013,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00005342.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00014,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00093031.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00014,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00058163.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00015,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00041810.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00015,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00107802.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00016,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00033900.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00016,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00012403.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00017,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00052259.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00017,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00003172.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00018,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00080249.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00018,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00038039.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00019,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00082000.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00019,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00084571.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00020,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00008913.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00020,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00007991.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00021,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00045165.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00021,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00065606.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00022,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00059405.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00022,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00104536.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00023,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00094855.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00023,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00092487.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00024,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00041992.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00024,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00087305.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00025,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00071459.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00025,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00061156.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00026,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00058841.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00026,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00054426.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00027,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00108027.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00027,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00101753.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00028,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00018168.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00028,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00014289.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00029,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00099565.jpg,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00029,MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00033235.jpg,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00030,AAU RainSnow,Egensevej-5,Egensevej/Egensevej-5/cam1-01515.png,EXACT_SHA256,1.0,TRUE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00030,AAU RainSnow,Egensevej-5,Egensevej/Egensevej-5/cam1-03132.png,EXACT_SHA256,1.0,FALSE,KEEP_ONE_AFTER_MANUAL_REVIEW,PENDING
DUP_00031,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-00055.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00031,AAU RainSnow,Ostre-2,Ostre/Ostre-2/cam1-00055.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00032,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-00447.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00032,AAU RainSnow,Ringvej-2,Ringvej/Ringvej-2/cam1-00447.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00032,AAU RainSnow,Hasserisvej-1,Hasserisvej/Hasserisvej-1/cam1-00447.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00033,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-00576.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00033,AAU RainSnow,Egensevej-2,Egensevej/Egensevej-2/cam1-00576.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00034,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-00795.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00034,AAU RainSnow,Hjorringvej-3,Hjorringvej/Hjorringvej-3/cam1-00795.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00035,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-00940.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00035,AAU RainSnow,Ringvej-1,Ringvej/Ringvej-1/cam1-00940.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00036,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-01303.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00036,AAU RainSnow,Ringvej-2,Ringvej/Ringvej-2/cam1-01303.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00037,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-01716.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00037,AAU RainSnow,Hasserisvej-2,Hasserisvej/Hasserisvej-2/cam1-01716.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00038,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-02091.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00038,AAU RainSnow,Ringvej-3,Ringvej/Ringvej-3/cam1-02091.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00038,AAU RainSnow,Ostre-3,Ostre/Ostre-3/cam1-02091.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00039,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-02423.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00039,AAU RainSnow,Hjorringvej-1,Hjorringvej/Hjorringvej-1/cam1-02423.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00040,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-03069.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00040,AAU RainSnow,Egensevej-3,Egensevej/Egensevej-3/cam1-03069.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00041,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-03512.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00041,AAU RainSnow,Hasserisvej-1,Hasserisvej/Hasserisvej-1/cam1-03512.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00042,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-03531.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
DUP_00042,AAU RainSnow,Ringvej-1,Ringvej/Ringvej-1/cam1-03531.png,DUPLICATE_BASENAME,,FALSE,VERIFY_CONTENT,PENDING
DUP_00043,AAU RainSnow,Egensevej-1,Egensevej/Egensevej-1/cam1-03578.png,DUPLICATE_BASENAME,,TRUE,VERIFY_CONTENT,PENDING
