dataset_name,sequence_name,source_file,split,read_status,width,height,aspect_ratio,file_size_bytes,mean_brightness,brightness_std,contrast,laplacian_variance,blur_score,dark_pixel_ratio,bright_pixel_ratio,mean_saturation,black_suspect,white_suspect,underexposed_suspect,overexposed_suspect,blur_suspect,assessment_source
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00101068.jpg,train,OK,720,480,1.5,20231,124.9856,44.8826,44.8826,664.1779,664.1779,0.021285,0.003947,23.8232,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00106269.jpg,train,OK,720,480,1.5,25660,92.2963,59.6788,59.6788,663.1719,663.1719,0.063247,0.039905,52.063,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00055632.jpg,train,OK,720,480,1.5,23371,133.7909,45.9704,45.9704,493.4171,493.4171,0.019062,0.006693,45.6047,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00077854.jpg,train,OK,720,480,1.5,31679,127.0976,46.8986,46.8986,539.2142,539.2142,0.020072,0.027914,31.1043,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00080858.jpg,train,OK,720,480,1.5,31180,123.5325,51.4579,51.4579,889.1401,889.1401,0.031591,0.032025,45.8783,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00041615.jpg,train,OK,720,480,1.5,37307,131.6114,57.3671,57.3671,1154.3257,1154.3257,0.032541,0.055744,30.7781,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00041683.jpg,train,OK,342,228,1.5,10066,143.2627,66.3837,66.3837,1433.8574,1433.8574,0.020237,0.070393,44.5548,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00103428.jpg,train,OK,342,228,1.5,5851,58.4062,43.1813,43.1813,196.2074,196.2074,0.069444,0.003706,59.2035,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00103496.jpg,train,OK,720,480,1.5,43587,117.2024,47.65,47.65,1271.0239,1271.0239,0.019702,0.020781,72.7949,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00052703.jpg,train,OK,342,228,1.5,8171,82.7286,41.6557,41.6557,1021.7365,1021.7365,0.027996,0.00377,60.587,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00056245.jpg,train,OK,720,480,1.5,44844,117.6905,48.3766,48.3766,1345.9982,1345.9982,0.019543,0.025475,68.3384,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00074840.jpg,train,OK,720,480,1.5,31871,134.0793,54.3356,54.3356,921.0913,921.0913,0.028932,0.042972,76.1345,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00092976.jpg,train,OK,720,480,1.5,29849,140.2804,52.3418,52.3418,893.0282,893.0282,0.017109,0.016047,56.6634,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00110345.jpg,train,OK,342,228,1.5,10053,131.453,49.5457,49.5457,1658.723,1658.723,0.019865,0.01948,65.6744,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00008427.jpg,train,OK,342,228,1.5,7405,71.4023,39.6006,39.6006,269.2571,269.2571,0.057543,0.003334,67.1654,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00105856.jpg,train,OK,720,480,1.5,20717,85.4644,44.7226,44.7226,520.9115,520.9115,0.078032,0.00171,42.9587,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00095530.jpg,train,OK,720,480,1.5,31479,135.9036,56.3472,56.3472,867.403,867.403,0.030741,0.050258,33.4392,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00036692.jpg,train,OK,720,480,1.5,38529,146.0313,66.6458,66.6458,1031.4101,1031.4101,0.029679,0.080854,80.5109,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00042511.jpg,train,OK,720,480,1.5,18313,85.4272,50.4899,50.4899,498.1492,498.1492,0.102266,0.004612,95.0975,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00029273.jpg,train,OK,720,480,1.5,24736,85.1833,62.3135,62.3135,660.9335,660.9335,0.176395,0.033139,29.1284,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,MIO-TCD-Localization/train/00044829.jpg,train,OK,720,480,1.5,25122,132.7575,39.0087,39.0087,621.3852,621.3852,0.026013,0.012269,22.2025,FALSE,FALSE,FALSE,FALSE,FALSE,AUTOMATIC_ESTIMATE
