dataset_name,original_class,reported_annotation_count,configured_mapped_class,configured_include,bbox_sample_count,source_mapped_values,corrected_bbox_sample_count,mapping_status,manual_review_required
MIO-TCD Localization,articulated_truck,9301,vehicle,,458,vehicle,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
MIO-TCD Localization,bicycle,2260,,,134,vehicle,134,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
MIO-TCD Localization,bus,10598,vehicle,,470,vehicle,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
MIO-TCD Localization,car,233497,vehicle,,10563,vehicle,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
MIO-TCD Localization,motorcycle,1837,vehicle,,79,vehicle,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
MIO-TCD Localization,motorized_vehicle,25845,vehicle,,1197,vehicle,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
MIO-TCD Localization,non-motorized_vehicle,2350,,,91,vehicle,91,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
MIO-TCD Localization,pedestrian,7128,,FALSE,326,vehicle,326,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
MIO-TCD Localization,pickup_truck,44283,vehicle,,2034,vehicle,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
MIO-TCD Localization,single_unit_truck,5741,vehicle,,285,vehicle,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
MIO-TCD Localization,work_van,8709,vehicle,,380,vehicle,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
AAU RainSnow,bicycle,1227,,,762,vehicle,762,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
AAU RainSnow,bus,433,vehicle,,305,vehicle,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
AAU RainSnow,car,10024,vehicle,,9601,vehicle,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
AAU RainSnow,motorbike,41,vehicle,,18,vehicle,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
AAU RainSnow,person,719,,FALSE,468,EMPTY,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
AAU RainSnow,truck,853,vehicle,,640,vehicle,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
UA-DETRAC Original,bus,105436,vehicle,,7444,vehicle,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
UA-DETRAC Original,car,1052408,vehicle,,83132,vehicle,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
UA-DETRAC Original,others,20641,vehicle,,1661,vehicle,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
UA-DETRAC Original,van,95570,vehicle,,7763,vehicle,0,DEFINED_PENDING_DATA_LEAD_APPROVAL,TRUE
