proposed_split,dataset_name,dimension,value,sequence_count,assessment_scope
CROSS_DATASET_TEST,AAU RainSnow,camera_view,ELEVATED_OBLIQUE,2,SEQUENCE_LEVEL
CROSS_DATASET_TEST,AAU RainSnow,lighting,NIGHT,1,SEQUENCE_LEVEL
CROSS_DATASET_TEST,AAU RainSnow,lighting,TWILIGHT,1,SEQUENCE_LEVEL
CROSS_DATASET_TEST,AAU RainSnow,traffic_density,LOW,1,SEQUENCE_LEVEL
CROSS_DATASET_TEST,AAU RainSnow,traffic_density,MEDIUM,1,SEQUENCE_LEVEL
CROSS_DATASET_TEST,AAU RainSnow,weather,RAIN_OR_WET_ROAD,2,SEQUENCE_LEVEL
CROSS_DATASET_TEST,UA-DETRAC Original,camera_view,ELEVATED_OBLIQUE,8,SEQUENCE_LEVEL
CROSS_DATASET_TEST,UA-DETRAC Original,lighting,DAY,5,SEQUENCE_LEVEL
CROSS_DATASET_TEST,UA-DETRAC Original,lighting,NIGHT,1,SEQUENCE_LEVEL
CROSS_DATASET_TEST,UA-DETRAC Original,lighting,TWILIGHT,2,SEQUENCE_LEVEL
CROSS_DATASET_TEST,UA-DETRAC Original,traffic_density,HIGH,4,SEQUENCE_LEVEL
CROSS_DATASET_TEST,UA-DETRAC Original,traffic_density,LOW,1,SEQUENCE_LEVEL
CROSS_DATASET_TEST,UA-DETRAC Original,traffic_density,MEDIUM,3,SEQUENCE_LEVEL
CROSS_DATASET_TEST,UA-DETRAC Original,weather,CLEAR,3,SEQUENCE_LEVEL
CROSS_DATASET_TEST,UA-DETRAC Original,weather,CLOUDY,2,SEQUENCE_LEVEL
CROSS_DATASET_TEST,UA-DETRAC Original,weather,UNKNOWN,3,SEQUENCE_LEVEL
EXTERNAL_TRAIN,AAU RainSnow,camera_view,UNKNOWN,18,SEQUENCE_LEVEL
EXTERNAL_TRAIN,AAU RainSnow,lighting,UNKNOWN,18,SEQUENCE_LEVEL
EXTERNAL_TRAIN,AAU RainSnow,traffic_density,UNKNOWN,18,SEQUENCE_LEVEL
EXTERNAL_TRAIN,AAU RainSnow,weather,UNKNOWN,18,SEQUENCE_LEVEL
EXTERNAL_TRAIN,MIO-TCD Localization,camera_view,UNKNOWN,1,SEQUENCE_LEVEL
EXTERNAL_TRAIN,MIO-TCD Localization,lighting,UNKNOWN,1,SEQUENCE_LEVEL
EXTERNAL_TRAIN,MIO-TCD Localization,traffic_density,UNKNOWN,1,SEQUENCE_LEVEL
EXTERNAL_TRAIN,MIO-TCD Localization,weather,UNKNOWN,1,SEQUENCE_LEVEL
EXTERNAL_TRAIN,UA-DETRAC Original,camera_view,UNKNOWN,71,SEQUENCE_LEVEL
EXTERNAL_TRAIN,UA-DETRAC Original,lighting,UNKNOWN,71,SEQUENCE_LEVEL
EXTERNAL_TRAIN,UA-DETRAC Original,traffic_density,UNKNOWN,71,SEQUENCE_LEVEL
EXTERNAL_TRAIN,UA-DETRAC Original,weather,UNKNOWN,71,SEQUENCE_LEVEL
EXTERNAL_VALIDATION,AAU RainSnow,camera_view,UNKNOWN,2,SEQUENCE_LEVEL
EXTERNAL_VALIDATION,AAU RainSnow,lighting,UNKNOWN,2,SEQUENCE_LEVEL
EXTERNAL_VALIDATION,AAU RainSnow,traffic_density,UNKNOWN,2,SEQUENCE_LEVEL
EXTERNAL_VALIDATION,AAU RainSnow,weather,UNKNOWN,2,SEQUENCE_LEVEL
EXTERNAL_VALIDATION,UA-DETRAC Original,camera_view,UNKNOWN,21,SEQUENCE_LEVEL
EXTERNAL_VALIDATION,UA-DETRAC Original,lighting,UNKNOWN,21,SEQUENCE_LEVEL
EXTERNAL_VALIDATION,UA-DETRAC Original,traffic_density,UNKNOWN,21,SEQUENCE_LEVEL
EXTERNAL_VALIDATION,UA-DETRAC Original,weather,UNKNOWN,21,SEQUENCE_LEVEL
