dataset_name,sequence_id,proposed_split,road_type,road_type_assessment_source,road_type_manual_review_status,road_type_notes,apply_status,main_project_test,notes
MIO-TCD Localization,SEQUENCE_NOT_PROVIDED,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Egensevej-1,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Egensevej-2,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Egensevej-3,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Egensevej-4,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Egensevej-5,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Hadsundvej-1,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Hadsundvej-2,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Hasserisvej-1,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Hasserisvej-2,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Hasserisvej-3,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Hjorringvej-1,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Hjorringvej-2,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Hjorringvej-3,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Hjorringvej-4,CROSS_DATASET_TEST,INTERSECTION,MANUAL_VISUAL_REVIEW,REVIEWED_BY_CODEX_PENDING_DATA_LEAD_APPROVAL,"Giao lộ có đèn tín hiệu, vạch qua đường và nhiều hướng rẽ.",PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Hobrovej-1,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Ostre-1,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Ostre-2,EXTERNAL_VALIDATION,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
AAU RainSnow,Ostre-3,EXTERNAL_TRAIN,UNKNOWN,NOT_REVIEWED,PENDING,,PROPOSAL_ONLY,FALSE,Main project test phải dùng K230 tự quay.
