dataset_name,sequence_name,track_id,original_class,first_frame,last_frame,track_frame_count,normalized_center_extent,stationary_candidate,confidence,status,ground_truth,manual_review_status
UA-DETRAC Original,MVI_40714,1,car,1,51,51,0.01439849,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40714,62,car,1156,1180,25,0.00477136,TRUE,HIGH,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40772,1,car,1,1200,1200,0.00968448,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40772,44,car,1006,1191,186,0.00651447,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40775,1,car,1,975,975,0.00339097,TRUE,HIGH,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40854,83,car,1071,1195,125,0.00890421,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40854,84,car,1140,1195,56,0.01063111,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40854,85,car,1146,1195,50,0.00980353,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40854,86,car,1156,1195,40,0.01062228,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40863,26,van,1,1670,1670,0.00097145,TRUE,HIGH,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40863,27,car,1,1670,1670,0.00048572,TRUE,HIGH,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40863,28,van,1,1670,1670,0.00068691,TRUE,HIGH,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40863,29,car,1,1670,1670,0.01171088,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40863,30,bus,1,1670,1670,0.00153111,TRUE,HIGH,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40891,10,others,1,1545,1545,0.00726313,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40892,133,car,1766,1790,25,0.01411273,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40892,134,car,1766,1790,25,0.00865922,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40892,135,car,1766,1790,25,0.00997451,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40901,50,car,1311,1335,25,0.00649796,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40904,1,others,1,1270,1270,0.00801791,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_20011,52,car,631,664,34,0.01023089,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_20034,4,car,1,31,31,0.01114795,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_20034,46,car,757,800,44,0.01106545,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_20063,27,car,761,791,31,0.01004192,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_20064,14,car,1,19,19,0.00635754,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_20064,48,car,667,800,134,0.01439738,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_20064,50,car,739,800,62,0.00739622,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_39761,6,car,1,16,16,0.00521705,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_39761,33,car,1641,1660,20,0.01339255,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_39771,26,car,526,570,45,0.01444315,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_39851,36,car,1391,1420,30,0.00833319,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_39851,37,car,1406,1420,15,0.0112611,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40131,65,car,1586,1645,60,0.0107502,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
UA-DETRAC Original,MVI_40192,11,van,1,16,16,0.01171876,TRUE,MEDIUM,STATIONARY_CANDIDATE,FALSE,PENDING
