sample_id,dataset_name,sequence_id,frame_id,track_id,source_file,weather,camera_state,area_ratio,size_bucket,boundary_status,truncation_ratio,sampling_method,visual_assessment,mapped_class,include_for_training,preserve_original_class,reviewer,review_date,review_status,evidence_path,notes
UA_OTHERS_STRAT_001,UA-DETRAC Original,MVI_40711,853,3,DETRAC-Images/DETRAC-Images/MVI_40711/img00853.jpg,CLOUDY,STABLE,0.02239592,LARGE,BOUNDARY_CLIPPED,0.54425,DETERMINISTIC_STRATIFIED_WEATHER_CAMERA_SIZE_BOUNDARY_SEQUENCE_CAP,LIKELY_MOTORIZED_VEHICLE,vehicle,TRUE_WITH_CAUTION,TRUE,CODEX_PRE_REVIEW,2026-08-02,AI_PRE_REVIEW_PENDING_DATA_LEAD_SIGNOFF,storage_placeholders/online_data/contact_sheets/ua_others_stratified/ua_others_stratified_page_01.jpg,Boundary-truncated object appears vehicle-like.
UA_OTHERS_STRAT_002,UA-DETRAC Original,MVI_40181,479,29,DETRAC-Images/DETRAC-Images/MVI_40181/img00479.jpg,CLOUDY,STABLE,0.05380654,LARGE,IN_FRAME,0.19677,DETERMINISTIC_STRATIFIED_WEATHER_CAMERA_SIZE_BOUNDARY_SEQUENCE_CAP,CONFIRMED_MOTORIZED_VEHICLE,vehicle,TRUE_WITH_CAUTION,TRUE,CODEX_PRE_REVIEW,2026-08-02,AI_PRE_REVIEW_PENDING_DATA_LEAD_SIGNOFF,storage_placeholders/online_data/contact_sheets/ua_others_stratified/ua_others_stratified_page_01.jpg,Truck is visible.
UA_OTHERS_STRAT_003,UA-DETRAC Original,MVI_40712,1732,52,DETRAC-Images/DETRAC-Images/MVI_40712/img01732.jpg,CLOUDY,STABLE,0.00602521,MEDIUM,BOUNDARY_CLIPPED,0.20757,DETERMINISTIC_STRATIFIED_WEATHER_CAMERA_SIZE_BOUNDARY_SEQUENCE_CAP,CONFIRMED_MOTORIZED_VEHICLE,vehicle,TRUE_WITH_CAUTION,TRUE,CODEX_PRE_REVIEW,2026-08-02,AI_PRE_REVIEW_PENDING_DATA_LEAD_SIGNOFF,storage_placeholders/online_data/contact_sheets/ua_others_stratified/ua_others_stratified_page_01.jpg,Motor vehicle is visible.
UA_OTHERS_STRAT_004,UA-DETRAC Original,MVI_40714,703,47,DETRAC-Images/DETRAC-Images/MVI_40714/img00703.jpg,CLOUDY,STABLE,0.0052997,MEDIUM,IN_FRAME,0,DETERMINISTIC_STRATIFIED_WEATHER_CAMERA_SIZE_BOUNDARY_SEQUENCE_CAP,CONFIRMED_MOTORIZED_VEHICLE,vehicle,TRUE_WITH_CAUTION,TRUE,CODEX_PRE_REVIEW,2026-08-02,AI_PRE_REVIEW_PENDING_DATA_LEAD_SIGNOFF,storage_placeholders/online_data/contact_sheets/ua_others_stratified/ua_others_stratified_page_01.jpg,Bus is visible.
UA_OTHERS_STRAT_005,UA-DETRAC Original,MVI_40211,754,76,DETRAC-Images/DETRAC-Images/MVI_40211/img00754.jpg,CLOUDY,UNSTABLE,0.07390066,LARGE,BOUNDARY_CLIPPED,0.55486,DETERMINISTIC_STRATIFIED_WEATHER_CAMERA_SIZE_BOUNDARY_SEQUENCE_CAP,LIKELY_MOTORIZED_VEHICLE,vehicle,TRUE_WITH_CAUTION,TRUE,CODEX_PRE_REVIEW,2026-08-02,AI_PRE_REVIEW_PENDING_DATA_LEAD_SIGNOFF,storage_placeholders/online_data/contact_sheets/ua_others_stratified/ua_others_stratified_page_01.jpg,Motion-blurred object appears vehicle-like.
UA_OTHERS_STRAT_006,UA-DETRAC Original,MVI_40172,2163,79,DETRAC-Images/DETRAC-Images/MVI_40172/img02163.jpg,CLOUDY,UNSTABLE,0.02153247,LARGE,IN_FRAME,0,DETERMINISTIC_STRATIFIED_WEATHER_CAMERA_SIZE_BOUNDARY_SEQUENCE_CAP,NON_VEHICLE,vehicle,FALSE_REVIEW_REJECT,TRUE,CODEX_PRE_REVIEW,2026-08-02,AI_PRE_REVIEW_PENDING_DATA_LEAD_SIGNOFF,storage_placeholders/online_data/contact_sheets/ua_others_stratified/ua_others_stratified_page_01.jpg,Box encloses a roadside shelter or advertising structure with people.
UA_OTHERS_STRAT_007,UA-DETRAC Original,MVI_40192,756,119,DETRAC-Images/DETRAC-Images/MVI_40192/img00756.jpg,CLOUDY,UNSTABLE,0.00456054,MEDIUM,BOUNDARY_CLIPPED,0.58918,DETERMINISTIC_STRATIFIED_WEATHER_CAMERA_SIZE_BOUNDARY_SEQUENCE_CAP,CONFIRMED_MOTORIZED_VEHICLE,vehicle,TRUE_WITH_CAUTION,TRUE,CODEX_PRE_REVIEW,2026-08-02,AI_PRE_REVIEW_PENDING_DATA_LEAD_SIGNOFF,storage_placeholders/online_data/contact_sheets/ua_others_stratified/ua_others_stratified_page_01.jpg,Motor vehicle is visible.
UA_OTHERS_STRAT_008,UA-DETRAC Original,MVI_40191,447,69,DETRAC-Images/DETRAC-Images/MVI_40191/img00447.jpg,CLOUDY,UNSTABLE,0.00336716,MEDIUM,IN_FRAME,0,DETERMINISTIC_STRATIFIED_WEATHER_CAMERA_SIZE_BOUNDARY_SEQUENCE_CAP,CONFIRMED_MOTORIZED_VEHICLE,vehicle,TRUE_WITH_CAUTION,TRUE,CODEX_PRE_REVIEW,2026-08-02,AI_PRE_REVIEW_PENDING_DATA_LEAD_SIGNOFF,storage_placeholders/online_data/contact_sheets/ua_others_stratified/ua_others_stratified_page_01.jpg,Truck is visible.
UA_OTHERS_STRAT_009,UA-DETRAC Original,MVI_39781,1701,47,DETRAC-Images/DETRAC-Images/MVI_39781/img01701.jpg,NIGHT,STABLE,0.16535806,LARGE,BOUNDARY_CLIPPED,0.3279,DETERMINISTIC_STRATIFIED_WEATHER_CAMERA_SIZE_BOUNDARY_SEQUENCE_CAP,UNDETERMINED,vehicle,FALSE_PENDING_SECOND_REVIEW,TRUE,CODEX_PRE_REVIEW,2026-08-02,AI_PRE_REVIEW_PENDING_DATA_LEAD_SIGNOFF,storage_placeholders/online_data/contact_sheets/ua_others_stratified/ua_others_stratified_page_01.jpg,Object is too ambiguous to distinguish motorcycle from bicycle or clutter.
UA_OTHERS_STRAT_010,UA-DETRAC Original,MVI_40792,45,4,DETRAC-Images/DETRAC-Images/MVI_40792/img00045.jpg,NIGHT,STABLE,0.02015575,LARGE,IN_FRAME,0,DETERMINISTIC_STRATIFIED_WEATHER_CAMERA_SIZE_BOUNDARY_SEQUENCE_CAP,LIKELY_MOTORIZED_VEHICLE,vehicle,TRUE_WITH_CAUTION,TRUE,CODEX_PRE_REVIEW,2026-08-02,AI_PRE_REVIEW_PENDING_DATA_LEAD_SIGNOFF,storage_placeholders/online_data/contact_sheets/ua_others_stratified/ua_others_stratified_page_01.jpg,Partly occluded object appears vehicle-like.
